geoid20,Total Acreage,2011 Canopy Acreage,Canopy_2011,2021 Canopy Acreage,Canopy_2021,Canopy Change,Acreage Gain,Acreage Loss,Net Change,County Name
53053073131,440,404,92%,378,86%,-6%,13.4,39.3,-25.9,Pierce
53053073132,525,456,87%,493,94%,7%,47.5,10.5,37,Pierce
53053073133,581,490,84%,492,85%,1%,22.6,21,1.7,Pierce
53053073200,"136,439","128,612",94%,"128,255",94%,0%,3688.4,4045.5,-357.1,Pierce
53053073301,"3,655","1,621",44%,"1,526",42%,-2%,175.4,270.6,-95.1,Pierce
53053073302,750,584,78%,571,76%,-2%,30.2,43.5,-13.3,Pierce
53053073404,"1,583","1,279",81%,"1,247",79%,-2%,40.1,71.5,-31.5,Pierce
53053073405,734,668,91%,645,88%,-3%,12.9,35.8,-22.9,Pierce
53053073406,"1,069",819,77%,799,75%,-2%,29.3,49.3,-20,Pierce
53053073407,576,336,58%,309,54%,-4%,19.5,46.6,-27.1,Pierce
53053073408,674,546,81%,527,78%,-3%,26.6,45.7,-19.1,Pierce
53053073501,"2,105","1,763",84%,"1,678",80%,-4%,38.5,124,-85.5,Pierce
53053073502,"1,940","1,648",85%,"1,588",82%,-3%,31.8,91.9,-60.1,Pierce
53053940001,739,690,93%,681,92%,-1%,1.5,11.2,-9.8,Pierce
53053940002,"3,338","1,713",51%,"1,633",49%,-2%,141,221.1,-80.1,Pierce
53053940004,"4,401","3,091",70%,"3,045",69%,-1%,106.9,152.7,-45.8,Pierce
53053940005,"1,052",960,91%,947,90%,-1%,27.1,40.4,-13.3,Pierce
53053940006,451,364,81%,403,89%,8%,50,11.6,38.4,Pierce
53053940007,613,520,85%,485,79%,-6%,11.2,46.4,-35.2,Pierce
53053940008,755,701,93%,687,91%,-2%,8.4,21.8,-13.5,Pierce
53053940009,"1,950","1,248",64%,"1,218",62%,-2%,83.1,112.4,-29.3,Pierce
53053940010,"2,191","1,055",48%,"1,046",48%,0%,114.2,123.2,-9,Pierce
53053940011,927,890,96%,889,96%,0%,9.4,11,-1.6,Pierce
53053940012,606,328,54%,299,49%,-5%,29.1,57.4,-28.3,Pierce
53053940013,427,249,58%,281,66%,8%,77.1,45.2,31.8,Pierce
53061040100,"1,112",662,60%,655,59%,-1%,33.1,39.6,-6.5,Snohomish
53061040200,661,382,58%,362,55%,-3%,26.8,46.8,-20.1,Snohomish
53061040300,259,226,87%,217,84%,-3%,4.4,13.8,-9.4,Snohomish
53061040400,386,232,60%,222,58%,-2%,8.7,17.8,-9.1,Snohomish
53061040500,450,281,63%,268,60%,-3%,8.2,21.8,-13.6,Snohomish
53061040700,688,218,32%,210,31%,-1%,29.6,37.8,-8.1,Snohomish
53061040800,353,169,48%,167,47%,-1%,7.5,9.1,-1.6,Snohomish
53061040900,815,760,93%,756,93%,0%,5.8,10.3,-4.5,Snohomish
53061041000,754,606,80%,589,78%,-2%,15.5,32.5,-17,Snohomish
53061041100,679,592,87%,573,84%,-3%,7.2,26.1,-18.9,Snohomish
53061041201,368,363,99%,361,98%,-1%,0.8,2.7,-1.9,Snohomish
53061041202,670,506,75%,497,74%,-1%,21.3,30.4,-9.1,Snohomish
53061041301,"1,149","1,017",89%,996,87%,-2%,15.4,36.9,-21.6,Snohomish
53061041303,940,690,73%,700,75%,2%,38.8,28.3,10.6,Snohomish
53061041304,"2,510","1,764",70%,"1,695",68%,-2%,35.9,105,-69.1,Snohomish
53061041400,856,773,90%,737,86%,-4%,14.2,50.6,-36.4,Snohomish
53061041500,"1,335",763,57%,730,55%,-2%,42.2,75.5,-33.3,Snohomish
53061041601,"1,154","1,061",92%,"1,041",90%,-2%,16.5,37,-20.5,Snohomish
53061041605,611,567,93%,563,92%,-1%,8.5,12,-3.6,Snohomish
53061041606,635,575,91%,583,92%,1%,30.5,22.3,8.2,Snohomish
53061041607,723,708,98%,690,95%,-3%,3.5,21.6,-18.1,Snohomish
53061041609,495,470,95%,466,94%,-1%,4.9,8.8,-3.9,Snohomish
53061041610,434,404,93%,414,95%,2%,13.8,3.8,10,Snohomish
53061041701,831,577,69%,569,68%,-1%,39.6,47.6,-8,Snohomish
53061041703,971,856,88%,844,87%,-1%,25.4,37.2,-11.8,Snohomish
53061041704,"1,000",891,89%,881,88%,-1%,24.9,35.7,-10.7,Snohomish
53061041805,808,513,64%,502,62%,-2%,23.6,35.4,-11.8,Snohomish
53061041808,418,330,79%,319,76%,-3%,11.5,22.6,-11.1,Snohomish
53061041809,267,229,86%,218,82%,-4%,8.2,19.1,-10.9,Snohomish
53061041810,221,179,81%,182,83%,2%,11.3,7.6,3.8,Snohomish
53061041812,462,341,74%,338,73%,-1%,28.5,31.2,-2.7,Snohomish
53061041813,348,289,83%,271,78%,-5%,6,24.2,-18.2,Snohomish
53061041814,363,324,89%,320,88%,-1%,8.7,12.6,-3.9,Snohomish
53061041815,414,328,79%,320,77%,-2%,10.4,19,-8.5,Snohomish
53061041816,421,404,96%,391,93%,-3%,8.6,21.4,-12.7,Snohomish
53061041901,"2,186",985,45%,899,41%,-4%,50.1,135.9,-85.8,Snohomish
53061041904,353,255,72%,252,71%,-1%,16.6,19.9,-3.3,Snohomish
53061041905,550,458,83%,443,80%,-3%,13.9,29.5,-15.6,Snohomish
53061041906,592,375,63%,370,62%,-1%,26.4,31.4,-5,Snohomish
53061041907,251,190,75%,186,74%,-1%,8.4,12.2,-3.9,Snohomish
53061042001,"1,199","1,154",96%,"1,140",95%,-1%,3.9,17.8,-13.9,Snohomish
53061042003,671,653,97%,639,95%,-2%,0.8,14.3,-13.5,Snohomish
53061042004,627,550,88%,531,85%,-3%,9.3,28.1,-18.8,Snohomish
53061042005,"1,579","1,452",92%,"1,434",91%,-1%,13.9,32.8,-18.9,Snohomish
53061042006,660,465,70%,447,68%,-2%,25.3,43.6,-18.3,Snohomish
53061050101,626,619,99%,597,95%,-4%,0.2,22,-21.8,Snohomish
53061050102,446,418,94%,409,92%,-2%,7.1,15.8,-8.7,Snohomish
53061050200,"1,116","1,060",95%,"1,057",95%,0%,9.6,12,-2.4,Snohomish
53061050300,921,888,96%,875,95%,-1%,2.5,15.7,-13.2,Snohomish
53061050402,706,626,89%,610,86%,-3%,14.4,30.3,-15.9,Snohomish
53061050403,567,550,97%,544,96%,-1%,3,9.7,-6.7,Snohomish
53061050404,257,234,91%,222,86%,-5%,3.6,16.1,-12.5,Snohomish
53061050501,421,239,57%,233,55%,-2%,21,27.4,-6.4,Snohomish
53061050502,425,398,93%,389,91%,-2%,6.6,15.8,-9.2,Snohomish
53061050600,780,715,92%,706,91%,-1%,3.4,12.5,-9.1,Snohomish
53061050700,766,702,92%,698,91%,-1%,19.4,23.2,-3.7,Snohomish
53061050800,790,714,90%,696,88%,-2%,11.1,29.2,-18,Snohomish
53061050900,407,280,69%,273,67%,-2%,10.7,17.8,-7.1,Snohomish
53061051000,888,691,78%,661,74%,-4%,21.2,51.4,-30.2,Snohomish
53061051100,508,458,90%,423,83%,-7%,7.5,42.6,-35.1,Snohomish
53061051200,519,486,94%,468,90%,-4%,5.2,22.7,-17.5,Snohomish
53061051301,356,333,94%,325,91%,-3%,5.7,13.2,-7.5,Snohomish
53061051302,372,365,98%,361,97%,-1%,1.1,5.1,-3.9,Snohomish
53061051401,383,238,62%,220,57%,-5%,15.1,32.9,-17.8,Snohomish
53061051402,626,440,70%,412,66%,-4%,26.7,54.8,-28.1,Snohomish
53061051500,811,658,81%,630,78%,-3%,23.5,52,-28.4,Snohomish
53061051601,605,529,87%,511,85%,-2%,10.3,28.2,-17.9,Snohomish
53061051602,507,448,88%,438,86%,-2%,9.2,19.6,-10.4,Snohomish
53061051701,615,462,75%,453,74%,-1%,18,27.8,-9.8,Snohomish
53061051702,535,458,86%,442,83%,-3%,13.2,29.1,-15.9,Snohomish
53061051802,"1,216",953,78%,922,76%,-2%,32.8,63.8,-31,Snohomish
53061051803,395,320,81%,303,77%,-4%,12.1,28.7,-16.6,Snohomish
53061051804,582,517,89%,505,87%,-2%,22.1,33.9,-11.8,Snohomish
53061051912,"3,325","2,838",85%,"2,812",85%,0%,57.4,83.6,-26.2,Snohomish
53061051913,979,931,95%,918,94%,-1%,9.2,22.5,-13.3,Snohomish
53061051914,847,823,97%,809,96%,-1%,4.2,18.2,-13.9,Snohomish
53061051916,730,679,93%,672,92%,-1%,13.7,21,-7.4,Snohomish
53061051917,725,671,93%,664,92%,-1%,9.3,16,-6.7,Snohomish
53061051918,"1,107","1,007",91%,987,89%,-2%,23,42.7,-19.7,Snohomish
53061051921,606,567,93%,553,91%,-2%,11.8,25.9,-14.1,Snohomish
53061051922,900,836,93%,829,92%,-1%,26.1,33.3,-7.3,Snohomish
53061051926,"2,096","1,928",92%,"1,914",91%,-1%,43.4,57.3,-13.8,Snohomish
53061051927,"1,138","1,076",95%,"1,036",91%,-4%,19.9,60,-40.1,Snohomish
53061051928,569,478,84%,462,81%,-3%,14.2,29.5,-15.3,Snohomish
53061051929,559,491,88%,481,86%,-2%,11.6,21.6,-10,Snohomish
53061051930,754,640,85%,621,82%,-3%,11.7,30.2,-18.5,Snohomish
53061051931,446,421,95%,418,94%,-1%,14,17,-3,Snohomish
53061051932,578,564,97%,556,96%,-1%,3.5,11,-7.5,Snohomish
53061051933,514,426,83%,421,82%,-1%,19.3,25.1,-5.8,Snohomish
53061051934,406,364,90%,365,90%,0%,14.5,12.8,1.6,Snohomish
53061051935,393,377,96%,371,94%,-2%,4.3,10.4,-6.1,Snohomish
53061051936,263,230,87%,230,88%,1%,9.7,8.8,0.9,Snohomish
53061051937,"1,002",838,84%,854,85%,1%,53.1,37,16.1,Snohomish
53061051938,979,848,87%,814,83%,-4%,33.8,67.8,-34,Snohomish
53061052004,821,734,89%,735,89%,0%,27.8,26.9,1,Snohomish
53061052005,886,868,98%,847,96%,-2%,2.7,23.8,-21,Snohomish
53061052006,477,474,99%,470,99%,0%,1.3,4.7,-3.5,Snohomish
53061052007,542,498,92%,502,93%,1%,16.3,12.3,4,Snohomish
53061052008,485,396,82%,386,80%,-2%,31.5,41.4,-9.9,Snohomish
53061052009,575,509,89%,494,86%,-3%,28.4,43.7,-15.3,Snohomish
53061052010,396,335,85%,344,87%,2%,21.5,12.9,8.6,Snohomish
53061052104,"11,314","4,635",41%,"4,079",36%,-5%,263,818.9,-555.9,Snohomish
53061052105,"13,499","5,601",41%,"5,376",40%,-1%,266.6,490.9,-224.3,Snohomish
53061052107,"3,080","2,929",95%,"2,842",92%,-3%,37.5,124.4,-86.9,Snohomish
53061052108,"5,795","5,014",87%,"4,885",84%,-3%,79.8,208.6,-128.7,Snohomish
53061052112,"3,623","3,370",93%,"3,318",92%,-1%,21.1,72.3,-51.2,Snohomish
53061052113,"5,518","4,463",81%,"4,543",82%,1%,234.9,155.2,79.8,Snohomish
53061052114,"1,622","1,549",95%,"1,552",96%,1%,21.8,18.9,2.9,Snohomish
53061052119,334,314,94%,315,94%,0%,4.9,4.1,0.8,Snohomish
53061052120,403,393,98%,391,97%,-1%,1.6,3.9,-2.3,Snohomish
53061052121,655,612,93%,597,91%,-2%,7,21.9,-14.8,Snohomish
53061052122,"2,123","1,890",89%,"1,845",87%,-2%,43.3,87.6,-44.4,Snohomish
53061052203,"4,270","3,146",74%,"2,990",70%,-4%,89.7,245.2,-155.5,Snohomish
53061052204,"2,204",920,42%,979,44%,2%,123.2,64.1,59.1,Snohomish
53061052206,"12,898","12,088",94%,"11,930",92%,-2%,152.1,309.9,-157.8,Snohomish
53061052207,"16,624","14,672",88%,"14,701",88%,0%,317.9,289.1,28.7,Snohomish
53061052208,462,378,82%,363,78%,-4%,14.7,30.4,-15.7,Snohomish
53061052210,731,468,64%,467,64%,0%,28.5,29.9,-1.4,Snohomish
53061052211,"1,411",709,50%,714,51%,1%,85.7,81.2,4.5,Snohomish
53061052301,"9,883","9,112",92%,"8,926",90%,-2%,69.2,254.6,-185.4,Snohomish
53061052302,"8,453","5,765",68%,"5,588",66%,-2%,179.8,356.4,-176.5,Snohomish
53061052401,"1,025",817,80%,795,78%,-2%,19.8,42.4,-22.6,Snohomish
53061052402,610,404,66%,382,63%,-3%,8.9,30.4,-21.5,Snohomish
53061052502,"3,566","2,818",79%,"2,729",77%,-2%,78.4,167.5,-89.1,Snohomish
53061052504,"1,946","1,771",91%,"1,702",87%,-4%,26.6,95.3,-68.7,Snohomish
53061052505,644,553,86%,563,87%,1%,44.4,34.6,9.9,Snohomish
53061052506,590,548,93%,532,90%,-3%,12,28.2,-16.2,Snohomish
53061052603,"1,866","1,720",92%,"1,678",90%,-2%,19.3,61.6,-42.3,Snohomish
53061052604,907,800,88%,770,85%,-3%,17.8,48.5,-30.6,Snohomish
53061052605,"1,172","1,047",89%,"1,016",87%,-2%,15.1,45.5,-30.5,Snohomish
53061052606,"3,252","2,827",87%,"2,787",86%,-1%,51.9,92,-40.1,Snohomish
53061052607,"2,509","2,166",86%,"2,118",84%,-2%,37.9,86.4,-48.5,Snohomish
53061052701,"5,053","4,509",89%,"4,412",87%,-2%,46.8,144.5,-97.7,Snohomish
53061052706,"1,232","1,102",89%,"1,097",89%,0%,40.2,45.6,-5.4,Snohomish
53061052707,"1,306","1,179",90%,"1,127",86%,-4%,33,85.6,-52.6,Snohomish
53061052708,781,747,96%,739,95%,-1%,9.3,17.1,-7.8,Snohomish
53061052709,"4,977","4,308",87%,"4,274",86%,-1%,72.2,106.8,-34.6,Snohomish
53061052710,640,624,97%,622,97%,0%,10.4,12.2,-1.9,Snohomish
53061052711,"3,336","2,852",86%,"2,814",84%,-2%,74.5,112.4,-37.9,Snohomish
53061052803,"3,480","1,193",34%,"1,109",32%,-2%,88.6,172.8,-84.2,Snohomish
53061052805,"1,051",915,87%,865,82%,-5%,19.6,69.1,-49.5,Snohomish
53061052807,661,527,80%,493,75%,-5%,17.5,51.3,-33.8,Snohomish
53061052808,"1,051",534,51%,514,49%,-2%,25.2,44.9,-19.7,Snohomish
53061052809,303,263,87%,266,88%,1%,11.8,8.9,2.8,Snohomish
53061052810,479,440,92%,430,90%,-2%,4.6,15.1,-10.5,Snohomish
53061052903,807,438,54%,359,44%,-10%,21.6,100.8,-79.2,Snohomish
53061052904,870,668,77%,670,77%,0%,38.2,36.4,1.8,Snohomish
53061052905,506,355,70%,324,64%,-6%,20,51.2,-31.2,Snohomish
53061052906,598,555,93%,517,87%,-6%,6.7,44.2,-37.5,Snohomish
53061053101,"6,772","4,457",66%,"4,381",65%,-1%,117.6,194.1,-76.4,Snohomish
53061053102,"6,229","4,657",75%,"4,541",73%,-2%,62.8,178.7,-115.9,Snohomish
53061053201,"11,837","6,860",58%,"6,870",58%,0%,292.9,282.8,10.1,Snohomish
53061053202,"6,164","5,122",83%,"5,012",81%,-2%,29.5,140.1,-110.6,Snohomish
53061053301,"6,141","1,482",24%,"1,476",24%,0%,135.5,141.4,-6,Snohomish
53061053302,"22,112","14,219",64%,"13,862",63%,-1%,366,722.9,-356.9,Snohomish
53061053400,"32,114","28,759",90%,"28,495",89%,-1%,761.6,1025.9,-264.4,Snohomish
53061053505,"12,436","10,965",88%,"10,660",86%,-2%,138.2,443.4,-305.2,Snohomish
53061053506,"64,111","57,982",90%,"57,631",90%,0%,1425.6,1776.6,-351,Snohomish
53061053507,"1,179",915,78%,926,79%,1%,47.5,36,11.6,Snohomish
53061053508,"3,708",976,26%,"1,027",28%,2%,123.4,72.3,51.1,Snohomish
53061053509,"2,080",811,39%,695,33%,-6%,21.3,137.7,-116.4,Snohomish
53061053510,"1,025",667,65%,631,62%,-3%,29.7,65.5,-35.8,Snohomish
53061053511,"1,937","1,789",92%,"1,766",91%,-1%,22.3,45.2,-23,Snohomish
53061053603,"10,248","9,149",89%,"8,947",87%,-2%,95.9,298.1,-202.2,Snohomish
53061053604,"3,973","2,972",75%,"2,919",73%,-2%,80.3,133.6,-53.3,Snohomish
53061053605,"9,561","9,178",96%,"8,865",93%,-3%,69.6,382.7,-313.1,Snohomish
53061053606,"123,879","116,594",94%,"116,480",94%,0%,1547.8,1661.2,-113.4,Snohomish
53061053700,"418,142","366,125",88%,"370,595",89%,1%,8826.6,4356.9,4469.7,Snohomish
53061053801,"281,962","257,312",91%,"259,400",92%,1%,5328.9,3241.2,2087.8,Snohomish
53061053802,"5,564","4,331",78%,"4,171",75%,-3%,58.5,218.6,-160.1,Snohomish
53061053803,"67,888","63,351",93%,"62,514",92%,-1%,1095.6,1932.5,-837,Snohomish
53061940001,"13,029","10,969",84%,"10,802",83%,-1%,108.8,275.4,-166.5,Snohomish
53061940002,"9,689","9,270",96%,"9,127",94%,-2%,43.6,186.3,-142.7,Snohomish
